year,state,state_po,first_place_party,first_place_vote_share,second_place_party,second_place_vote_share
1976,SOUTH DAKOTA,SD,REPUBLICAN,0.5039,DEMOCRAT,0.4891
1976,TENNESSEE,TN,DEMOCRAT,0.5594,REPUBLICAN,0.4294
1976,TEXAS,TX,DEMOCRAT,0.5114,REPUBLICAN,0.4797
1976,UTAH,UT,REPUBLICAN,0.6243,DEMOCRAT,0.3365
1976,VERMONT,VT,REPUBLICAN,0.5459,DEMOCRAT,0.423
1976,VIRGINIA,VA,REPUBLICAN,0.4929,DEMOCRAT,0.4796
1976,WASHINGTON,WA,REPUBLICAN,0.5,DEMOCRAT,0.4611
1976,WEST VIRGINIA,WV,DEMOCRAT,0.5807,REPUBLICAN,0.4193
1976,WISCONSIN,WI,DEMOCRAT,0.495,REPUBLICAN,0.4783
1976,WYOMING,WY,REPUBLICAN,0.593,DEMOCRAT,0.3981
1980,ALABAMA,AL,REPUBLICAN,0.4875,DEMOCRAT,0.4745
1980,ALASKA,AK,REPUBLICAN,0.5435,DEMOCRAT,0.2641
1980,ARIZONA,AZ,REPUBLICAN,0.6061,DEMOCRAT,0.2824
1980,ARKANSAS,AR,REPUBLICAN,0.4813,DEMOCRAT,0.4752
1980,CALIFORNIA,CA,REPUBLICAN,0.527,DEMOCRAT,0.3592
1980,COLORADO,CO,REPUBLICAN,0.5507,DEMOCRAT,0.3107
1980,CONNECTICUT,CT,REPUBLICAN,0.4816,DEMOCRAT,0.3852
1980,DELAWARE,DE,REPUBLICAN,0.4721,DEMOCRAT,0.4487
1980,DISTRICT OF COLUMBIA,DC,DEMOCRAT,0.7489,REPUBLICAN,0.1341
1980,FLORIDA,FL,REPUBLICAN,0.5552,DEMOCRAT,0.385
1980,GEORGIA,GA,DEMOCRAT,0.558,REPUBLICAN,0.4097
1980,HAWAII,HI,DEMOCRAT,0.448,REPUBLICAN,0.429
1980,IDAHO,ID,REPUBLICAN,0.6646,DEMOCRAT,0.2519
1980,ILLINOIS,IL,REPUBLICAN,0.4965,DEMOCRAT,0.4172
1980,INDIANA,IN,REPUBLICAN,0.5601,DEMOCRAT,0.3765
1980,IOWA,IA,REPUBLICAN,0.5131,DEMOCRAT,0.386
1980,KANSAS,KS,REPUBLICAN,0.5785,DEMOCRAT,0.3329
1980,KENTUCKY,KY,REPUBLICAN,0.4903,DEMOCRAT,0.4765
1980,LOUISIANA,LA,REPUBLICAN,0.512,DEMOCRAT,0.4575
1980,MAINE,ME,REPUBLICAN,0.4561,DEMOCRAT,0.4225
1980,MARYLAND,MD,DEMOCRAT,0.4714,REPUBLICAN,0.4418
1980,MASSACHUSETTS,MA,REPUBLICAN,0.419,DEMOCRAT,0.4175
1980,MICHIGAN,MI,REPUBLICAN,0.4899,DEMOCRAT,0.425
1980,MINNESOTA,MN,DEMOCRAT,0.465,REPUBLICAN,0.4256
1980,MISSISSIPPI,MS,REPUBLICAN,0.4946,DEMOCRAT,0.4814
1980,MISSOURI,MO,REPUBLICAN,0.5116,DEMOCRAT,0.4435
1980,MONTANA,MT,REPUBLICAN,0.5682,DEMOCRAT,0.3243
1980,NEBRASKA,NE,REPUBLICAN,0.6555,DEMOCRAT,0.2602
1980,NEVADA,NV,REPUBLICAN,0.6361,DEMOCRAT,0.2736
1980,NEW HAMPSHIRE,NH,REPUBLICAN,0.5774,DEMOCRAT,0.2835
1980,NEW JERSEY,NJ,REPUBLICAN,0.5197,DEMOCRAT,0.3856
1980,NEW MEXICO,NM,REPUBLICAN,0.5497,DEMOCRAT,0.3678
1980,NEW YORK,NY,REPUBLICAN,0.4666,DEMOCRAT,0.4399
1980,NORTH CAROLINA,NC,REPUBLICAN,0.493,DEMOCRAT,0.4718
1980,NORTH DAKOTA,ND,REPUBLICAN,0.6433,DEMOCRAT,0.263
1980,OHIO,OH,REPUBLICAN,0.5151,DEMOCRAT,0.4091
1980,OKLAHOMA,OK,REPUBLICAN,0.605,DEMOCRAT,0.3497
1980,OREGON,OR,REPUBLICAN,0.4833,DEMOCRAT,0.3867
1980,PENNSYLVANIA,PA,REPUBLICAN,0.4959,DEMOCRAT,0.4248
1980,RHODE ISLAND,RI,DEMOCRAT,0.4768,REPUBLICAN,0.3721
1980,SOUTH CAROLINA,SC,REPUBLICAN,0.4945,DEMOCRAT,0.4821
1980,SOUTH DAKOTA,SD,REPUBLICAN,0.6053,DEMOCRAT,0.3169
1980,TENNESSEE,TN,REPUBLICAN,0.487,DEMOCRAT,0.4841
1980,TEXAS,TX,REPUBLICAN,0.5528,DEMOCRAT,0.4142
1980,UTAH,UT,REPUBLICAN,0.7278,DEMOCRAT,0.2057
1980,VERMONT,VT,REPUBLICAN,0.4436,DEMOCRAT,0.3842
1980,VIRGINIA,VA,REPUBLICAN,0.5303,DEMOCRAT,0.4031
1980,WASHINGTON,WA,REPUBLICAN,0.4966,DEMOCRAT,0.3732
1980,WEST VIRGINIA,WV,DEMOCRAT,0.4981,REPUBLICAN,0.453
1980,WISCONSIN,WI,REPUBLICAN,0.479,DEMOCRAT,0.4318
1980,WYOMING,WY,REPUBLICAN,0.6264,DEMOCRAT,0.2797
1984,ALABAMA,AL,REPUBLICAN,0.6054,DEMOCRAT,0.3828
1984,ALASKA,AK,REPUBLICAN,0.6665,DEMOCRAT,0.2987
1984,ARIZONA,AZ,REPUBLICAN,0.6642,DEMOCRAT,0.3254
1984,ARKANSAS,AR,REPUBLICAN,0.6047,DEMOCRAT,0.3829
1984,CALIFORNIA,CA,REPUBLICAN,0.5752,DEMOCRAT,0.4127
1984,COLORADO,CO,REPUBLICAN,0.6344,DEMOCRAT,0.3512
1984,CONNECTICUT,CT,REPUBLICAN,0.6073,DEMOCRAT,0.3883
1984,DELAWARE,DE,REPUBLICAN,0.5978,DEMOCRAT,0.3993
1984,DISTRICT OF COLUMBIA,DC,DEMOCRAT,0.8538,REPUBLICAN,0.1373
1984,FLORIDA,FL,REPUBLICAN,0.6532,DEMOCRAT,0.3466
1984,GEORGIA,GA,REPUBLICAN,0.6017,DEMOCRAT,0.3979
1984,HAWAII,HI,REPUBLICAN,0.551,DEMOCRAT,0.4382
1984,IDAHO,ID,REPUBLICAN,0.7236,DEMOCRAT,0.2639
1984,ILLINOIS,IL,REPUBLICAN,0.5617,DEMOCRAT,0.433
1984,INDIANA,IN,REPUBLICAN,0.6167,DEMOCRAT,0.3768
1984,IOWA,IA,REPUBLICAN,0.5327,DEMOCRAT,0.4589
1984,KANSAS,KS,REPUBLICAN,0.6627,DEMOCRAT,0.326
1984,KENTUCKY,KY,REPUBLICAN,0.6001,DEMOCRAT,0.394
1984,LOUISIANA,LA,REPUBLICAN,0.6077,DEMOCRAT,0.3818
1984,MAINE,ME,REPUBLICAN,0.6083,DEMOCRAT,0.3878
1984,MARYLAND,MD,REPUBLICAN,0.5251,DEMOCRAT,0.4702
1984,MASSACHUSETTS,MA,REPUBLICAN,0.5122,DEMOCRAT,0.4843
1984,MICHIGAN,MI,REPUBLICAN,0.5923,DEMOCRAT,0.4024
1984,MINNESOTA,MN,DEMOCRAT,0.4972,REPUBLICAN,0.4954
1984,MISSISSIPPI,MS,REPUBLICAN,0.6188,DEMOCRAT,0.3742
1984,MISSOURI,MO,REPUBLICAN,0.6002,DEMOCRAT,0.3998
1984,MONTANA,MT,REPUBLICAN,0.6047,DEMOCRAT,0.3818
1984,NEBRASKA,NE,REPUBLICAN,0.7055,DEMOCRAT,0.2881
1984,NEVADA,NV,REPUBLICAN,0.6677,DEMOCRAT,0.3242
1984,NEW HAMPSHIRE,NH,REPUBLICAN,0.6867,DEMOCRAT,0.3095
1984,NEW JERSEY,NJ,REPUBLICAN,0.6009,DEMOCRAT,0.392
1984,NEW MEXICO,NM,REPUBLICAN,0.597,DEMOCRAT,0.3923
1984,NEW YORK,NY,REPUBLICAN,0.5384,DEMOCRAT,0.4583
1984,NORTH CAROLINA,NC,REPUBLICAN,0.619,DEMOCRAT,0.3789
1984,NORTH DAKOTA,ND,REPUBLICAN,0.6484,DEMOCRAT,0.338
1984,OHIO,OH,REPUBLICAN,0.587,DEMOCRAT,0.4
1984,OKLAHOMA,OK,REPUBLICAN,0.6861,DEMOCRAT,0.3067
1984,OREGON,OR,REPUBLICAN,0.5591,DEMOCRAT,0.4374
1984,PENNSYLVANIA,PA,REPUBLICAN,0.5334,DEMOCRAT,0.4599
1984,RHODE ISLAND,RI,REPUBLICAN,0.5167,DEMOCRAT,0.4802
1984,SOUTH CAROLINA,SC,REPUBLICAN,0.6355,DEMOCRAT,0.3557
1984,SOUTH DAKOTA,SD,REPUBLICAN,0.63,DEMOCRAT,0.3653
1984,TENNESSEE,TN,REPUBLICAN,0.5784,DEMOCRAT,0.4157
1984,TEXAS,TX,REPUBLICAN,0.6361,DEMOCRAT,0.3611
1984,UTAH,UT,REPUBLICAN,0.745,DEMOCRAT,0.2468
1984,VERMONT,VT,REPUBLICAN,0.5792,DEMOCRAT,0.4081
1984,VIRGINIA,VA,REPUBLICAN,0.6229,DEMOCRAT,0.3709
1984,WASHINGTON,WA,REPUBLICAN,0.5609,DEMOCRAT,0.4258
1984,WEST VIRGINIA,WV,REPUBLICAN,0.5511,DEMOCRAT,0.446
1984,WISCONSIN,WI,REPUBLICAN,0.5419,DEMOCRAT,0.4502
1984,WYOMING,WY,REPUBLICAN,0.7051,DEMOCRAT,0.2824
1988,ALABAMA,AL,REPUBLICAN,0.5917,DEMOCRAT,0.3986
1988,ALASKA,AK,REPUBLICAN,0.5959,DEMOCRAT,0.3627
1988,ARIZONA,AZ,REPUBLICAN,0.5995,DEMOCRAT,0.3874
1988,ARKANSAS,AR,REPUBLICAN,0.5637,DEMOCRAT,0.4219
1988,CALIFORNIA,CA,REPUBLICAN,0.5113,DEMOCRAT,0.4756
1988,COLORADO,CO,REPUBLICAN,0.5306,DEMOCRAT,0.4528
1988,CONNECTICUT,CT,REPUBLICAN,0.5198,DEMOCRAT,0.4687
1988,DELAWARE,DE,REPUBLICAN,0.5588,DEMOCRAT,0.4348
1988,DISTRICT OF COLUMBIA,DC,DEMOCRAT,0.8265,REPUBLICAN,0.143
1988,FLORIDA,FL,REPUBLICAN,0.6087,DEMOCRAT,0.3851
1988,GEORGIA,GA,REPUBLICAN,0.5975,DEMOCRAT,0.395
1988,HAWAII,HI,DEMOCRAT,0.5427,REPUBLICAN,0.4475
1988,IDAHO,ID,REPUBLICAN,0.6208,DEMOCRAT,0.3601
1988,ILLINOIS,IL,REPUBLICAN,0.5069,DEMOCRAT,0.486
1988,INDIANA,IN,REPUBLICAN,0.5984,DEMOCRAT,0.3969
1988,IOWA,IA,DEMOCRAT,0.5471,REPUBLICAN,0.445
1988,KANSAS,KS,REPUBLICAN,0.5579,DEMOCRAT,0.4256
1988,KENTUCKY,KY,REPUBLICAN,0.5552,DEMOCRAT,0.4388
1988,LOUISIANA,LA,REPUBLICAN,0.5427,DEMOCRAT,0.4406
1988,MAINE,ME,REPUBLICAN,0.5534,DEMOCRAT,0.4388
1988,MARYLAND,MD,REPUBLICAN,0.5111,DEMOCRAT,0.482
1988,MASSACHUSETTS,MA,DEMOCRAT,0.5323,REPUBLICAN,0.4538
1988,MICHIGAN,MI,REPUBLICAN,0.5357,DEMOCRAT,0.4567
1988,MINNESOTA,MN,DEMOCRAT,0.5291,REPUBLICAN,0.459
1988,MISSISSIPPI,MS,REPUBLICAN,0.5989,DEMOCRAT,0.3907
1988,MISSOURI,MO,REPUBLICAN,0.5183,DEMOCRAT,0.4785
1988,MONTANA,MT,REPUBLICAN,0.5207,DEMOCRAT,0.462
1988,NEBRASKA,NE,REPUBLICAN,0.6016,DEMOCRAT,0.3919
1988,NEVADA,NV,REPUBLICAN,0.6005,DEMOCRAT,0.3868
1988,NEW HAMPSHIRE,NH,REPUBLICAN,0.6249,DEMOCRAT,0.3633
1988,NEW JERSEY,NJ,REPUBLICAN,0.5624,DEMOCRAT,0.426
1988,NEW MEXICO,NM,REPUBLICAN,0.5185,DEMOCRAT,0.4689
1988,NEW YORK,NY,DEMOCRAT,0.5162,REPUBLICAN,0.4752
1988,NORTH CAROLINA,NC,REPUBLICAN,0.5797,DEMOCRAT,0.4171
1988,NORTH DAKOTA,ND,REPUBLICAN,0.5603,DEMOCRAT,0.4297
1988,OHIO,OH,REPUBLICAN,0.55,DEMOCRAT,0.4415
1988,OKLAHOMA,OK,REPUBLICAN,0.5793,DEMOCRAT,0.4128
1988,OREGON,OR,DEMOCRAT,0.5128,REPUBLICAN,0.4661
1988,PENNSYLVANIA,PA,REPUBLICAN,0.507,DEMOCRAT,0.4839
1988,RHODE ISLAND,RI,DEMOCRAT,0.5564,REPUBLICAN,0.4393
1988,SOUTH CAROLINA,SC,REPUBLICAN,0.615,DEMOCRAT,0.3758
1988,SOUTH DAKOTA,SD,REPUBLICAN,0.5285,DEMOCRAT,0.4651
1988,TENNESSEE,TN,REPUBLICAN,0.5789,DEMOCRAT,0.4155
1988,TEXAS,TX,REPUBLICAN,0.5595,DEMOCRAT,0.4335
1988,UTAH,UT,REPUBLICAN,0.6622,DEMOCRAT,0.3205
1988,VERMONT,VT,REPUBLICAN,0.511,DEMOCRAT,0.4758
1988,VIRGINIA,VA,REPUBLICAN,0.5974,DEMOCRAT,0.3923
1988,WASHINGTON,WA,DEMOCRAT,0.5005,REPUBLICAN,0.4846
1988,WEST VIRGINIA,WV,DEMOCRAT,0.522,REPUBLICAN,0.4746
1988,WISCONSIN,WI,DEMOCRAT,0.5141,REPUBLICAN,0.478
1988,WYOMING,WY,REPUBLICAN,0.6053,DEMOCRAT,0.3801
1992,ALABAMA,AL,REPUBLICAN,0.4765,DEMOCRAT,0.4088
1992,ALASKA,AK,REPUBLICAN,0.3946,DEMOCRAT,0.3029
1992,ARIZONA,AZ,REPUBLICAN,0.3847,DEMOCRAT,0.3652
1992,ARKANSAS,AR,DEMOCRAT,0.5321,REPUBLICAN,0.3548
1992,CALIFORNIA,CA,DEMOCRAT,0.4601,REPUBLICAN,0.3261
1992,COLORADO,CO,DEMOCRAT,0.4013,REPUBLICAN,0.3587
1992,CONNECTICUT,CT,DEMOCRAT,0.4222,REPUBLICAN,0.3578
1992,DELAWARE,DE,DEMOCRAT,0.4352,REPUBLICAN,0.3533
1992,DISTRICT OF COLUMBIA,DC,DEMOCRAT,0.8464,REPUBLICAN,0.091
1992,FLORIDA,FL,REPUBLICAN,0.409,DEMOCRAT,0.3899
1992,GEORGIA,GA,DEMOCRAT,0.4347,REPUBLICAN,0.4288
1992,HAWAII,HI,DEMOCRAT,0.4809,REPUBLICAN,0.367
1992,IDAHO,ID,REPUBLICAN,0.4203,DEMOCRAT,0.2842
1992,ILLINOIS,IL,DEMOCRAT,0.4858,REPUBLICAN,0.3434
1992,INDIANA,IN,REPUBLICAN,0.4291,DEMOCRAT,0.3679
1992,IOWA,IA,DEMOCRAT,0.4329,REPUBLICAN,0.3727
1992,KANSAS,KS,REPUBLICAN,0.3888,DEMOCRAT,0.3374
1992,KENTUCKY,KY,DEMOCRAT,0.4455,REPUBLICAN,0.4134
1992,LOUISIANA,LA,DEMOCRAT,0.4558,REPUBLICAN,0.4097
1992,MAINE,ME,DEMOCRAT,0.3877,OTHER,0.3044
1992,MARYLAND,MD,DEMOCRAT,0.4981,REPUBLICAN,0.3563
1992,MASSACHUSETTS,MA,DEMOCRAT,0.4754,REPUBLICAN,0.2902
1992,MICHIGAN,MI,DEMOCRAT,0.4377,REPUBLICAN,0.3638
1992,MINNESOTA,MN,DEMOCRAT,0.4348,REPUBLICAN,0.3185
1992,MISSISSIPPI,MS,REPUBLICAN,0.4968,DEMOCRAT,0.4077
1992,MISSOURI,MO,DEMOCRAT,0.4407,REPUBLICAN,0.3392
1992,MONTANA,MT,DEMOCRAT,0.3763,REPUBLICAN,0.3512
1992,NEBRASKA,NE,REPUBLICAN,0.466,DEMOCRAT,0.294
1992,NEVADA,NV,DEMOCRAT,0.3736,REPUBLICAN,0.3473
1992,NEW HAMPSHIRE,NH,DEMOCRAT,0.3891,REPUBLICAN,0.3769
1992,NEW JERSEY,NJ,DEMOCRAT,0.4295,REPUBLICAN,0.4058
1992,NEW MEXICO,NM,DEMOCRAT,0.459,REPUBLICAN,0.3734
1992,NEW YORK,NY,DEMOCRAT,0.4865,REPUBLICAN,0.3315
1992,NORTH CAROLINA,NC,REPUBLICAN,0.4344,DEMOCRAT,0.4265
1992,NORTH DAKOTA,ND,REPUBLICAN,0.4422,DEMOCRAT,0.3218
1992,OHIO,OH,DEMOCRAT,0.4018,REPUBLICAN,0.3835
1992,OKLAHOMA,OK,REPUBLICAN,0.4265,DEMOCRAT,0.3402
1992,OREGON,OR,DEMOCRAT,0.4248,REPUBLICAN,0.3253
1992,PENNSYLVANIA,PA,DEMOCRAT,0.4515,REPUBLICAN,0.3613
1992,RHODE ISLAND,RI,DEMOCRAT,0.4705,REPUBLICAN,0.2903
1992,SOUTH CAROLINA,SC,REPUBLICAN,0.4699,DEMOCRAT,0.4276
1992,SOUTH DAKOTA,SD,REPUBLICAN,0.4066,DEMOCRAT,0.3714
1992,TENNESSEE,TN,DEMOCRAT,0.4708,REPUBLICAN,0.4243
1992,TEXAS,TX,REPUBLICAN,0.4056,DEMOCRAT,0.3708
1992,UTAH,UT,REPUBLICAN,0.4336,OTHER,0.2734
1992,VERMONT,VT,DEMOCRAT,0.4611,REPUBLICAN,0.3042
1992,VIRGINIA,VA,REPUBLICAN,0.4496,DEMOCRAT,0.4059
1992,WASHINGTON,WA,DEMOCRAT,0.4341,REPUBLICAN,0.3197
1992,WEST VIRGINIA,WV,DEMOCRAT,0.4841,REPUBLICAN,0.3539
1992,WISCONSIN,WI,DEMOCRAT,0.4113,REPUBLICAN,0.3678
1992,WYOMING,WY,REPUBLICAN,0.397,DEMOCRAT,0.341
1996,ALABAMA,AL,REPUBLICAN,0.5012,DEMOCRAT,0.4316
1996,ALASKA,AK,REPUBLICAN,0.508,DEMOCRAT,0.3327
1996,ARIZONA,AZ,DEMOCRAT,0.4652,REPUBLICAN,0.4429
1996,ARKANSAS,AR,DEMOCRAT,0.5374,REPUBLICAN,0.368
1996,CALIFORNIA,CA,DEMOCRAT,0.511,REPUBLICAN,0.3821
1996,COLORADO,CO,REPUBLICAN,0.458,DEMOCRAT,0.4443
1996,CONNECTICUT,CT,DEMOCRAT,0.5283,REPUBLICAN,0.3469
1996,DELAWARE,DE,DEMOCRAT,0.5183,REPUBLICAN,0.3658
1996,DISTRICT OF COLUMBIA,DC,DEMOCRAT,0.8519,REPUBLICAN,0.0934
1996,FLORIDA,FL,DEMOCRAT,0.4803,REPUBLICAN,0.4232
1996,GEORGIA,GA,REPUBLICAN,0.4702,DEMOCRAT,0.4584
1996,HAWAII,HI,DEMOCRAT,0.5693,REPUBLICAN,0.3164
1996,IDAHO,ID,REPUBLICAN,0.5218,DEMOCRAT,0.3365
1996,ILLINOIS,IL,DEMOCRAT,0.5432,REPUBLICAN,0.3681
1996,INDIANA,IN,REPUBLICAN,0.4714,DEMOCRAT,0.4156
1996,IOWA,IA,DEMOCRAT,0.5026,REPUBLICAN,0.3992
1996,KANSAS,KS,REPUBLICAN,0.5429,DEMOCRAT,0.3608
1996,KENTUCKY,KY,DEMOCRAT,0.4584,REPUBLICAN,0.4488
1996,LOUISIANA,LA,DEMOCRAT,0.5201,REPUBLICAN,0.3994
1996,MAINE,ME,DEMOCRAT,0.5162,REPUBLICAN,0.3076
1996,MARYLAND,MD,DEMOCRAT,0.5425,REPUBLICAN,0.3827
1996,MASSACHUSETTS,MA,DEMOCRAT,0.6147,REPUBLICAN,0.2809
1996,MICHIGAN,MI,DEMOCRAT,0.5169,REPUBLICAN,0.3848
1996,MINNESOTA,MN,DEMOCRAT,0.511,REPUBLICAN,0.3496
1996,MISSISSIPPI,MS,REPUBLICAN,0.4921,DEMOCRAT,0.4408
1996,MISSOURI,MO,DEMOCRAT,0.4754,REPUBLICAN,0.4124
1996,MONTANA,MT,REPUBLICAN,0.4413,DEMOCRAT,0.4125
1996,NEBRASKA,NE,REPUBLICAN,0.5365,DEMOCRAT,0.3495
1996,NEVADA,NV,DEMOCRAT,0.4393,REPUBLICAN,0.4291
1996,NEW HAMPSHIRE,NH,DEMOCRAT,0.4957,REPUBLICAN,0.3957
1996,NEW JERSEY,NJ,DEMOCRAT,0.5372,REPUBLICAN,0.3586
1996,NEW MEXICO,NM,DEMOCRAT,0.4918,REPUBLICAN,0.4186
1996,NEW YORK,NY,DEMOCRAT,0.5833,REPUBLICAN,0.3003
1996,NORTH CAROLINA,NC,REPUBLICAN,0.4873,DEMOCRAT,0.4404
1996,NORTH DAKOTA,ND,REPUBLICAN,0.4694,DEMOCRAT,0.4013
1996,OHIO,OH,DEMOCRAT,0.4738,REPUBLICAN,0.4102
1996,OKLAHOMA,OK,REPUBLICAN,0.4826,DEMOCRAT,0.4045
1996,OREGON,OR,DEMOCRAT,0.4715,REPUBLICAN,0.3906
1996,PENNSYLVANIA,PA,DEMOCRAT,0.4923,REPUBLICAN,0.4001
1996,RHODE ISLAND,RI,DEMOCRAT,0.5972,REPUBLICAN,0.2682
1996,SOUTH CAROLINA,SC,REPUBLICAN,0.4985,DEMOCRAT,0.4401
1996,SOUTH DAKOTA,SD,REPUBLICAN,0.4649,DEMOCRAT,0.4303
1996,TENNESSEE,TN,DEMOCRAT,0.48,REPUBLICAN,0.4559
1996,TEXAS,TX,REPUBLICAN,0.4876,DEMOCRAT,0.4383
1996,UTAH,UT,REPUBLICAN,0.5437,DEMOCRAT,0.333
1996,VERMONT,VT,DEMOCRAT,0.5335,REPUBLICAN,0.3109
1996,VIRGINIA,VA,REPUBLICAN,0.471,DEMOCRAT,0.4515
1996,WASHINGTON,WA,DEMOCRAT,0.4984,REPUBLICAN,0.373
1996,WEST VIRGINIA,WV,DEMOCRAT,0.5151,REPUBLICAN,0.3676
1996,WISCONSIN,WI,DEMOCRAT,0.4881,REPUBLICAN,0.3848
1996,WYOMING,WY,REPUBLICAN,0.4981,DEMOCRAT,0.3684
2000,ALABAMA,AL,REPUBLICAN,0.5648,DEMOCRAT,0.4157
2000,ALASKA,AK,REPUBLICAN,0.5862,DEMOCRAT,0.2767
2000,ARIZONA,AZ,REPUBLICAN,0.5102,DEMOCRAT,0.4473
2000,ARKANSAS,AR,REPUBLICAN,0.5131,DEMOCRAT,0.4586
2000,CALIFORNIA,CA,DEMOCRAT,0.5345,REPUBLICAN,0.4165
2000,COLORADO,CO,REPUBLICAN,0.5075,DEMOCRAT,0.4239
2000,CONNECTICUT,CT,DEMOCRAT,0.5591,REPUBLICAN,0.3844
2000,DELAWARE,DE,DEMOCRAT,0.5498,REPUBLICAN,0.4192
2000,DISTRICT OF COLUMBIA,DC,DEMOCRAT,0.8516,REPUBLICAN,0.0895
2000,FLORIDA,FL,REPUBLICAN,0.4885,DEMOCRAT,0.4884
2000,GEORGIA,GA,REPUBLICAN,0.5496,DEMOCRAT,0.4321
2000,HAWAII,HI,DEMOCRAT,0.5579,REPUBLICAN,0.3746
2000,IDAHO,ID,REPUBLICAN,0.6717,DEMOCRAT,0.2764
2000,ILLINOIS,IL,DEMOCRAT,0.546,REPUBLICAN,0.4258
2000,INDIANA,IN,REPUBLICAN,0.5665,DEMOCRAT,0.4101
2000,IOWA,IA,DEMOCRAT,0.4719,REPUBLICAN,0.4689
2000,KANSAS,KS,REPUBLICAN,0.5804,DEMOCRAT,0.3724
2000,KENTUCKY,KY,REPUBLICAN,0.5651,DEMOCRAT,0.4138
2000,LOUISIANA,LA,REPUBLICAN,0.5255,DEMOCRAT,0.4488
2000,MAINE,ME,DEMOCRAT,0.4909,REPUBLICAN,0.4397
2000,MARYLAND,MD,DEMOCRAT,0.5649,REPUBLICAN,0.4018
2000,MASSACHUSETTS,MA,DEMOCRAT,0.5913,REPUBLICAN,0.3213
2000,MICHIGAN,MI,DEMOCRAT,0.5128,REPUBLICAN,0.4615
2000,MINNESOTA,MN,DEMOCRAT,0.4791,REPUBLICAN,0.455
2000,MISSISSIPPI,MS,REPUBLICAN,0.5762,DEMOCRAT,0.407
2000,MISSOURI,MO,REPUBLICAN,0.5042,DEMOCRAT,0.4708
2000,MONTANA,MT,REPUBLICAN,0.5844,DEMOCRAT,0.3337
