year,state,state_po,first_place_party,first_place_vote_share,second_place_party,second_place_vote_share
2020,ALABAMA,AL,REPUBLICAN,0.6203,DEMOCRAT,0.3657
2020,ALASKA,AK,REPUBLICAN,0.5283,DEMOCRAT,0.4277
2020,ARIZONA,AZ,DEMOCRAT,0.4936,REPUBLICAN,0.4906
2020,ARKANSAS,AR,REPUBLICAN,0.624,DEMOCRAT,0.3478
2020,CALIFORNIA,CA,DEMOCRAT,0.6348,REPUBLICAN,0.3432
2020,COLORADO,CO,DEMOCRAT,0.5501,REPUBLICAN,0.416
2020,CONNECTICUT,CT,DEMOCRAT,0.5926,REPUBLICAN,0.3919
2020,DELAWARE,DE,DEMOCRAT,0.5874,REPUBLICAN,0.3977
2020,DISTRICT OF COLUMBIA,DC,DEMOCRAT,0.9215,REPUBLICAN,0.054
2020,FLORIDA,FL,REPUBLICAN,0.5122,DEMOCRAT,0.4786
2020,GEORGIA,GA,DEMOCRAT,0.4947,REPUBLICAN,0.4924
2020,HAWAII,HI,DEMOCRAT,0.6319,REPUBLICAN,0.3398
2020,IDAHO,ID,REPUBLICAN,0.6384,DEMOCRAT,0.3307
2020,ILLINOIS,IL,DEMOCRAT,0.5754,REPUBLICAN,0.4055
2020,INDIANA,IN,REPUBLICAN,0.5702,DEMOCRAT,0.4096
2020,IOWA,IA,REPUBLICAN,0.5309,DEMOCRAT,0.4489
2020,KANSAS,KS,REPUBLICAN,0.5621,DEMOCRAT,0.4156
2020,KENTUCKY,KY,REPUBLICAN,0.6209,DEMOCRAT,0.3615
2020,LOUISIANA,LA,REPUBLICAN,0.5846,DEMOCRAT,0.3985
2020,MAINE,ME,DEMOCRAT,0.5253,REPUBLICAN,0.4355
2020,MARYLAND,MD,DEMOCRAT,0.6536,REPUBLICAN,0.3215
2020,MASSACHUSETTS,MA,DEMOCRAT,0.6512,REPUBLICAN,0.3191
2020,MICHIGAN,MI,DEMOCRAT,0.5062,REPUBLICAN,0.4784
2020,MINNESOTA,MN,DEMOCRAT,0.524,REPUBLICAN,0.4528
2020,MISSISSIPPI,MS,REPUBLICAN,0.576,DEMOCRAT,0.4106
2020,MISSOURI,MO,REPUBLICAN,0.568,DEMOCRAT,0.4141
2020,MONTANA,MT,REPUBLICAN,0.5692,DEMOCRAT,0.4055
2020,NEBRASKA,NE,REPUBLICAN,0.5822,DEMOCRAT,0.3917
2020,NEVADA,NV,DEMOCRAT,0.5006,REPUBLICAN,0.4767
2020,NEW HAMPSHIRE,NH,DEMOCRAT,0.5271,REPUBLICAN,0.4536
2020,NEW JERSEY,NJ,DEMOCRAT,0.5733,REPUBLICAN,0.414
2020,NEW MEXICO,NM,DEMOCRAT,0.5429,REPUBLICAN,0.435
2020,NEW YORK,NY,DEMOCRAT,0.6056,REPUBLICAN,0.3756
2020,NORTH CAROLINA,NC,REPUBLICAN,0.4993,DEMOCRAT,0.4859
2020,NORTH DAKOTA,ND,REPUBLICAN,0.6511,DEMOCRAT,0.3176
2020,OHIO,OH,REPUBLICAN,0.5327,DEMOCRAT,0.4524
2020,OKLAHOMA,OK,REPUBLICAN,0.6537,DEMOCRAT,0.3229
2020,OREGON,OR,DEMOCRAT,0.5645,REPUBLICAN,0.4037
2020,PENNSYLVANIA,PA,DEMOCRAT,0.5001,REPUBLICAN,0.4884
2020,RHODE ISLAND,RI,DEMOCRAT,0.5948,REPUBLICAN,0.3867
2020,SOUTH CAROLINA,SC,REPUBLICAN,0.5509,DEMOCRAT,0.4342
2020,SOUTH DAKOTA,SD,REPUBLICAN,0.6177,DEMOCRAT,0.3561
2020,TENNESSEE,TN,REPUBLICAN,0.6066,DEMOCRAT,0.3745
2020,TEXAS,TX,REPUBLICAN,0.5206,DEMOCRAT,0.4648
2020,UTAH,UT,REPUBLICAN,0.5813,DEMOCRAT,0.3765
2020,VERMONT,VT,DEMOCRAT,0.655,REPUBLICAN,0.304
2020,VIRGINIA,VA,DEMOCRAT,0.5411,REPUBLICAN,0.44
2020,WASHINGTON,WA,DEMOCRAT,0.5797,REPUBLICAN,0.3877
2020,WEST VIRGINIA,WV,REPUBLICAN,0.6863,DEMOCRAT,0.297
2020,WISCONSIN,WI,DEMOCRAT,0.4945,REPUBLICAN,0.4882
2020,WYOMING,WY,REPUBLICAN,0.6994,DEMOCRAT,0.2655
