year,state,state_po,first_place_party,first_place_vote_share,second_place_party,second_place_vote_share
2016,ALABAMA,AL,REPUBLICAN,0.6208,DEMOCRAT,0.3436
2016,ALASKA,AK,REPUBLICAN,0.5128,DEMOCRAT,0.3655
2016,ARIZONA,AZ,REPUBLICAN,0.4867,DEMOCRAT,0.4513
2016,ARKANSAS,AR,REPUBLICAN,0.6057,DEMOCRAT,0.3365
2016,CALIFORNIA,CA,DEMOCRAT,0.6173,REPUBLICAN,0.3162
2016,COLORADO,CO,DEMOCRAT,0.4816,REPUBLICAN,0.4325
2016,CONNECTICUT,CT,DEMOCRAT,0.5457,REPUBLICAN,0.4093
2016,DELAWARE,DE,DEMOCRAT,0.5335,REPUBLICAN,0.4192
2016,DISTRICT OF COLUMBIA,DC,DEMOCRAT,0.9086,REPUBLICAN,0.0409
2016,FLORIDA,FL,REPUBLICAN,0.4902,DEMOCRAT,0.4782
2016,GEORGIA,GA,REPUBLICAN,0.5077,DEMOCRAT,0.4564
2016,HAWAII,HI,DEMOCRAT,0.6222,REPUBLICAN,0.3004
2016,IDAHO,ID,REPUBLICAN,0.5926,DEMOCRAT,0.2749
2016,ILLINOIS,IL,DEMOCRAT,0.5583,REPUBLICAN,0.3876
2016,INDIANA,IN,REPUBLICAN,0.5694,DEMOCRAT,0.3777
2016,IOWA,IA,REPUBLICAN,0.5116,DEMOCRAT,0.4175
2016,KANSAS,KS,REPUBLICAN,0.5665,DEMOCRAT,0.3605
2016,KENTUCKY,KY,REPUBLICAN,0.6252,DEMOCRAT,0.3268
2016,LOUISIANA,LA,REPUBLICAN,0.5809,DEMOCRAT,0.3845
2016,MAINE,ME,DEMOCRAT,0.4783,REPUBLICAN,0.4487
2016,MARYLAND,MD,DEMOCRAT,0.6033,REPUBLICAN,0.3391
2016,MASSACHUSETTS,MA,DEMOCRAT,0.6001,REPUBLICAN,0.3281
2016,MICHIGAN,MI,REPUBLICAN,0.475,DEMOCRAT,0.4727
2016,MINNESOTA,MN,DEMOCRAT,0.4645,REPUBLICAN,0.4493
2016,MISSISSIPPI,MS,REPUBLICAN,0.5794,DEMOCRAT,0.4011
2016,MISSOURI,MO,REPUBLICAN,0.5677,DEMOCRAT,0.3814
2016,MONTANA,MT,REPUBLICAN,0.5647,DEMOCRAT,0.3594
2016,NEBRASKA,NE,REPUBLICAN,0.5875,DEMOCRAT,0.337
2016,NEVADA,NV,DEMOCRAT,0.4792,REPUBLICAN,0.455
2016,NEW HAMPSHIRE,NH,DEMOCRAT,0.4683,REPUBLICAN,0.4646
2016,NEW JERSEY,NJ,DEMOCRAT,0.5545,REPUBLICAN,0.4135
2016,NEW MEXICO,NM,DEMOCRAT,0.4826,REPUBLICAN,0.4004
2016,NEW YORK,NY,DEMOCRAT,0.5901,REPUBLICAN,0.3652
2016,NORTH CAROLINA,NC,REPUBLICAN,0.4983,DEMOCRAT,0.4617
2016,NORTH DAKOTA,ND,REPUBLICAN,0.6296,DEMOCRAT,0.2723
2016,OHIO,OH,REPUBLICAN,0.5169,DEMOCRAT,0.4356
2016,OKLAHOMA,OK,REPUBLICAN,0.6532,DEMOCRAT,0.2893
2016,OREGON,OR,DEMOCRAT,0.5007,REPUBLICAN,0.3909
2016,PENNSYLVANIA,PA,REPUBLICAN,0.4858,DEMOCRAT,0.4785
2016,RHODE ISLAND,RI,DEMOCRAT,0.5441,REPUBLICAN,0.389
2016,SOUTH CAROLINA,SC,REPUBLICAN,0.5494,DEMOCRAT,0.4067
2016,SOUTH DAKOTA,SD,REPUBLICAN,0.6153,DEMOCRAT,0.3174
2016,TENNESSEE,TN,REPUBLICAN,0.6072,DEMOCRAT,0.3472
2016,TEXAS,TX,REPUBLICAN,0.5223,DEMOCRAT,0.4324
2016,UTAH,UT,REPUBLICAN,0.4554,DEMOCRAT,0.2746
2016,VERMONT,VT,DEMOCRAT,0.5668,REPUBLICAN,0.3027
2016,VIRGINIA,VA,DEMOCRAT,0.4975,REPUBLICAN,0.4443
2016,WASHINGTON,WA,DEMOCRAT,0.5254,REPUBLICAN,0.3683
2016,WEST VIRGINIA,WV,REPUBLICAN,0.6863,DEMOCRAT,0.2648
2016,WISCONSIN,WI,REPUBLICAN,0.4722,DEMOCRAT,0.4645
2016,WYOMING,WY,REPUBLICAN,0.6817,DEMOCRAT,0.2188
