year,state,state_po,first_place_party,first_place_vote_share,second_place_party,second_place_vote_share,republican_candidates,democrat_candidates,libertarian_candidates,other_candidates,republican_candidates_writein,democrat_candidates_writein,libertarian_candidates_writein,other_candidates_writein
2012,ALABAMA,AL,REPUBLICAN,0.6055,DEMOCRAT,0.3836,1,1,0,1,0,0,0,1
2012,ALASKA,AK,REPUBLICAN,0.548,DEMOCRAT,0.4081,1,1,1,1,0,0,0,1
2012,ARIZONA,AZ,REPUBLICAN,0.5365,DEMOCRAT,0.4459,1,1,1,1,0,0,0,1
2012,ARKANSAS,AR,REPUBLICAN,0.6057,DEMOCRAT,0.3688,1,1,1,2,0,0,0,0
2012,CALIFORNIA,CA,DEMOCRAT,0.6024,REPUBLICAN,0.3712,1,1,1,3,0,0,0,1
2012,COLORADO,CO,DEMOCRAT,0.5149,REPUBLICAN,0.4613,1,1,1,13,0,0,0,0
2012,CONNECTICUT,CT,DEMOCRAT,0.5809,REPUBLICAN,0.4075,1,1,1,1,0,0,0,1
2012,DELAWARE,DE,DEMOCRAT,0.5861,REPUBLICAN,0.3998,1,1,1,1,0,0,0,0
2012,DISTRICT OF COLUMBIA,DC,DEMOCRAT,0.9091,REPUBLICAN,0.0728,1,1,1,1,0,0,0,1
2012,FLORIDA,FL,DEMOCRAT,0.5001,REPUBLICAN,0.4913,1,1,1,9,0,0,0,1
2012,GEORGIA,GA,REPUBLICAN,0.5333,DEMOCRAT,0.4551,1,1,1,0,0,0,0,0
2012,HAWAII,HI,DEMOCRAT,0.7015,REPUBLICAN,0.2768,1,1,1,3,0,0,0,0
2012,IDAHO,ID,REPUBLICAN,0.6453,DEMOCRAT,0.3262,1,1,1,2,0,0,0,0
2012,ILLINOIS,IL,DEMOCRAT,0.576,REPUBLICAN,0.4073,1,1,1,1,0,0,0,1
2012,INDIANA,IN,REPUBLICAN,0.5413,DEMOCRAT,0.4393,1,1,1,0,0,0,0,1
2012,IOWA,IA,DEMOCRAT,0.5199,REPUBLICAN,0.4618,1,1,1,5,0,0,0,1
