year,state,state_po,first_place_party,first_place_vote_share,second_place_party,second_place_vote_share
1992,ALABAMA,AL,REPUBLICAN,0.4765,DEMOCRAT,0.4088
1992,ALASKA,AK,REPUBLICAN,0.3946,DEMOCRAT,0.3029
1992,ARIZONA,AZ,REPUBLICAN,0.3847,DEMOCRAT,0.3652
1992,ARKANSAS,AR,DEMOCRAT,0.5321,REPUBLICAN,0.3548
1992,CALIFORNIA,CA,DEMOCRAT,0.4601,REPUBLICAN,0.3261
1992,COLORADO,CO,DEMOCRAT,0.4013,REPUBLICAN,0.3587
1992,CONNECTICUT,CT,DEMOCRAT,0.4222,REPUBLICAN,0.3578
1992,DELAWARE,DE,DEMOCRAT,0.4352,REPUBLICAN,0.3533
1992,DISTRICT OF COLUMBIA,DC,DEMOCRAT,0.8464,REPUBLICAN,0.091
1992,FLORIDA,FL,REPUBLICAN,0.409,DEMOCRAT,0.3899
1992,GEORGIA,GA,DEMOCRAT,0.4347,REPUBLICAN,0.4288
1992,HAWAII,HI,DEMOCRAT,0.4809,REPUBLICAN,0.367
1992,IDAHO,ID,REPUBLICAN,0.4203,DEMOCRAT,0.2842
1992,ILLINOIS,IL,DEMOCRAT,0.4858,REPUBLICAN,0.3434
1992,INDIANA,IN,REPUBLICAN,0.4291,DEMOCRAT,0.3679
1992,IOWA,IA,DEMOCRAT,0.4329,REPUBLICAN,0.3727
1992,KANSAS,KS,REPUBLICAN,0.3888,DEMOCRAT,0.3374
1992,KENTUCKY,KY,DEMOCRAT,0.4455,REPUBLICAN,0.4134
1992,LOUISIANA,LA,DEMOCRAT,0.4558,REPUBLICAN,0.4097
1992,MAINE,ME,DEMOCRAT,0.3877,OTHER,0.3044
1992,MARYLAND,MD,DEMOCRAT,0.4981,REPUBLICAN,0.3563
1992,MASSACHUSETTS,MA,DEMOCRAT,0.4754,REPUBLICAN,0.2902
1992,MICHIGAN,MI,DEMOCRAT,0.4377,REPUBLICAN,0.3638
1992,MINNESOTA,MN,DEMOCRAT,0.4348,REPUBLICAN,0.3185
1992,MISSISSIPPI,MS,REPUBLICAN,0.4968,DEMOCRAT,0.4077
1992,MISSOURI,MO,DEMOCRAT,0.4407,REPUBLICAN,0.3392
1992,MONTANA,MT,DEMOCRAT,0.3763,REPUBLICAN,0.3512
1992,NEBRASKA,NE,REPUBLICAN,0.466,DEMOCRAT,0.294
1992,NEVADA,NV,DEMOCRAT,0.3736,REPUBLICAN,0.3473
1992,NEW HAMPSHIRE,NH,DEMOCRAT,0.3891,REPUBLICAN,0.3769
1992,NEW JERSEY,NJ,DEMOCRAT,0.4295,REPUBLICAN,0.4058
1992,NEW MEXICO,NM,DEMOCRAT,0.459,REPUBLICAN,0.3734
1992,NEW YORK,NY,DEMOCRAT,0.4865,REPUBLICAN,0.3315
1992,NORTH CAROLINA,NC,REPUBLICAN,0.4344,DEMOCRAT,0.4265
1992,NORTH DAKOTA,ND,REPUBLICAN,0.4422,DEMOCRAT,0.3218
1992,OHIO,OH,DEMOCRAT,0.4018,REPUBLICAN,0.3835
1992,OKLAHOMA,OK,REPUBLICAN,0.4265,DEMOCRAT,0.3402
1992,OREGON,OR,DEMOCRAT,0.4248,REPUBLICAN,0.3253
1992,PENNSYLVANIA,PA,DEMOCRAT,0.4515,REPUBLICAN,0.3613
1992,RHODE ISLAND,RI,DEMOCRAT,0.4705,REPUBLICAN,0.2903
1992,SOUTH CAROLINA,SC,REPUBLICAN,0.4699,DEMOCRAT,0.4276
1992,SOUTH DAKOTA,SD,REPUBLICAN,0.4066,DEMOCRAT,0.3714
1992,TENNESSEE,TN,DEMOCRAT,0.4708,REPUBLICAN,0.4243
1992,TEXAS,TX,REPUBLICAN,0.4056,DEMOCRAT,0.3708
1992,UTAH,UT,REPUBLICAN,0.4336,OTHER,0.2734
1992,VERMONT,VT,DEMOCRAT,0.4611,REPUBLICAN,0.3042
1992,VIRGINIA,VA,REPUBLICAN,0.4496,DEMOCRAT,0.4059
1992,WASHINGTON,WA,DEMOCRAT,0.4341,REPUBLICAN,0.3197
1992,WEST VIRGINIA,WV,DEMOCRAT,0.4841,REPUBLICAN,0.3539
1992,WISCONSIN,WI,DEMOCRAT,0.4113,REPUBLICAN,0.3678
1992,WYOMING,WY,REPUBLICAN,0.397,DEMOCRAT,0.341
